Sender,Recipient,Subject,Context,Purpose,Tone,Audience,CTA,FullEmailText
"Video content creator (not specified, but implied freelancer or agency)","Marketing team or blog/content lead at <CompanyName>
",<CompanyName> Demo,"Sender is already a customer and blog reader of <CompanyName>, and has experience creating content for other SaaS brands like KISSmetrics",Pitching a video content series service,"Friendly, warm, value-based",SaaS content managers or marketing heads,"Check out the demo and respond if interested
","Subject: <CompanyName> Demo  
I love <CompanyName> (been a customer for several months) and I'm also a big fan of your blog.  
I work with companies like KISSmetrics and make weekly video's for their blog. Here is one that published earlier this week on their site: 4 Critical Facebook Reports.  
Just wanted to email you and see if <CompanyName> might be interested in a similar series.  
I made a demo for you based on a previous post by <PopularPostAuthorName> to show you what it might look like: <LinkToDemo>.  
Is this something you guys would be interested in?  
"
Josh Braun / Presales content strategist,"Beth (HR or benefits leader in a hospitality company)
","Your Article in HR Magazine . . .
","Beth’s company is introducing two new health plans. The sender read about this in HR Magazine.
","Offer helpful, non-sales-y educational video content to build trust and eventually sell a solution
","Warm, informal, helpful — NOT pushy or sales-focused
","HR leaders or employee benefits teams in hospitality companies
","“If you’re interested, just reply and I’ll send it along.” — soft ask
","Subject: Your Article in HR Magazine . . .

Hey Beth, I noticed in a recent HR Magazine article that you folks are introducing 2 new health plans this year.

If you're like the other companies we work with in the hospitality industry that are rolling out new plans, you might find it challenging to explain plan options to your employees in an easy to understand way WITHOUT putting them into sleep induced coma.

Since we're super passionate about ridding the world of benefits bewilderment, we put together a free 4 part video series that might help you explain your plans in Plain English while persuading more people to enroll in high deductible plans.

If you're interested, just reply and I'll send it along.
"
Justin Wilcox / Founder at Customer Dev Labs,"Sam (a medical professional with experience in remote coding and volunteering abroad)
","Remote coding
","Sam wrote an article about volunteering skills in Guatemala; sender references it and shows genuine interest.
","Set up a customer interview to get product feedback — not to sell
","Warm, personal, respectful, humble
","Medical professionals with remote coding expertise
","“If you’re available, I’d love to chat for just 20 minutes – Thur or Fri morning”
","Subject: Remote coding

Hi Sam,

I read your article on volunteering your professional skills in Guatemala – it was really inspiring. I’m looking to travel more and you’ve got me thinking about incorporating volunteering when I do!

I have a software company trying to improve remote medical record coding.

I’m not looking to sell anything, but since you have so much expertise with remote coding, I’d love to get your advice on our product so we don’t build the wrong thing.

If you’re available, I’d love to chat for just 20 minutes – Thur or Fri morning
"
"Iris Shoor (Co-founder at Takipi)
","A Scala developer at <CompanyName> (specific Play projects on GitHub)
","Server debugging in Scala at <CompanyName>
",Iris runs a startup called Takipi focused on debugging tools for Scala; targeting large-scale production environments,"Set up a meeting and offer a beta trial of their product
","Friendly, technical, confident, targeted","Scala developers in large-scale production teams
","“Will be very happy to meet up and see if you'd like to take Takipi for a test drive.”
","Subject: Server debugging in Scala at <CompanyName>

Hi <FirstName>,

I'm a co-founder at Takipi, we're a startup developing a new technology to debug large scale production environments. We've decided to put our initial focus on Scala. 'Takipi for Scala' automatically detects and shows developers which variables values, threads and functions led to an exception or code latency in staging and production - www.takipi.com/scala.html

When we designed Takipi we had companies like <BigCompanyName> in mind (yep, I'm sure we're not the first ones) - large scale 24/7 production and lots of data. We're in Beta these days and working with <SeveralOtherCompanyNames> and others.

I ran into some of your Play projects on Github and thought you might be a good contact point at <CompanyName> and will find Takipi interesting.

I'll be visiting the Bay area this month (from the week of the 22nd) and will be very happy to meet up and see if you'd like to take Takipi for a test drive.

Thanks
"
"Dave Daily (Founder and CEO of Grav)
","Noah Kagan
","How I lost your Sperry’s.. and apt. And why you should meet with me.
","Dave pitched an app idea, sharing personal and business background to get a meeting with Noah Kagan.
","Secure an in-person meeting to present an app idea and build connection.
","Casual, candid, humorous, confident
","Business influencer, potential mentor
","Reply to arrange meeting or request wireframe
","Subject: How I lost your Sperry’s.. and apt. And why you should meet with me.

I kept bidding them up.. to $600. Then I stopped with 3 seconds left and the other person won. I didn’t want the apartment. I was going to use it as an expensive excuse to get an App idea in front of you…and we wear the same size shoes. I have since bought a pair of Sperry’s..er Sperries? Size 11 – they fit!

Why you should meet with me:
1. I’m the founder and CEO of Grav. I’ve been running this business for the past nine years. I started it when I was 24. I have 70 employees in Austin and operations in China. I love my business. It’s profitable and I’m really good at it. However, I want to do more.
2. I’m Jewish – I hate playing that card, but.. what the fuck.
3. This App idea is disruptive. It’s not in my wheelhouse (glass), but I know a good idea when I see one – I get about 3 presentations a week from stoners about their pipe ideas.
4. I have a wireframe ready so you can breeze through it quickly.
If you're interested, just reply and I'll send it along
5. The factory is really close to downtown – on St. Elmo just south of Ben White.
6. Even if you hate me and my idea, you’ll love the **** factory – it’s insane.
This Wednesday 4/17 at 10am (or earlier) would be a great time to come by (I know it’s short notice, but what if this is the best idea you’ve ever heard and I’m the coolest guy you’ve ever met?)
Feel free to bring anyone from Appsumo. I’m a huge fan.
Thanks for your time!
Best
"
Bernie Reeder,"<FirstName> (generic placeholder)
","Re:<TheSubjectOfYourFirstTouchEmail>
","Follow-up email after no response to initial outreach
",Get a reply from a prospect who has not yet responded,"Funny, light-hearted, casual
","Potential business client or lead
","Ask the recipient to clarify their status by replying
","Hey <FirstName>,

I haven't heard back from you and that tells me one of three things:
1) You've already chosen a different company for this, and if that's the case please let me know so I can stop bothering you.
2) You're still interested but haven't had the time to get back to me yet.
3) You've fallen and can't get up - in that case let me know and I'll call 911

Please let me know which one it is because I'm starting to worry... 

Thanks in advance and looking forward to hearing from you.

Cheers
"
Justin Benson,John (placeholder for personalization),"Multiple examples:
- A better way to manage scalability issues
- Manage all your employee's benefits from one application
- Never run out of Hamburger Helper at quarter end again",Non-intrusive first outreach aiming to identify if prospect has relevant pain points,"Start conversation to explore if they need help with specific issues
","Polite, self-conscious, respectful
","B2B prospects potentially facing operational pain points
","Ask to discuss further via email or phone, based on prospect preference","Hi John,

Forgive me for the unsolicited email but it's better than me jamming up your VM. I'm not sure if we can help you but because we've helped <Two-Or-Three-Peer-Companies> I thought I'd check and see if any or all of these are applicable.

• Struggling to make enough hamburger helper fast enough to feed a whole team
• Spending too much money having hamburger helper Ubered to the office because they can't store it effectively
• Running out of hamburger helper when sudden changes in the weather trap the sales team in overnight

If any of these resonate with you I'm happy to discuss further via email or phone follow up – just let me know what you prefer.

Respectfully
"
John Braun,Matt,voicemail,"Follow-up after voicemail, aiming to reconnect with prospect
","Quickly get a response on interest level about product/service
","Casual, friendly, humorous, engaging
","B2B prospects who received voicemail, ready to reply quickly
","Reply with a simple letter choice (A, B, C, or D) to indicate status
","Hi Matt,

First of all, happy day-before-a-long-weekend! I hope the mood in your office is as jovial and doughnut-filled as it currently is over here (We’re positively giddy.).

Second of all… how are you feeling about the idea aimed at helping you folks drive more sales of <Product/Service Name>?

To make this super simple, I’ve programmed this email with an easy-response technology – simply hit “reply,” and type the letter of the choice below that best fits the situation: 

A. OMG, this totally slipped off my priority list, but let’s talk about it! How’s [x] day at [x] time?

B. Uf. We still want to do this, but it’s not gonna happen in the next few months. Put me on your calendar to bother in [December/Next Spring/Next Summer]

C. Unfortunately, this is off the table for the foreseeable future. Please quit bugging me about it.

D. [Other/Fill in the blank]

Take care,
"
Heather R. Morgan,<FirstName>,"10x <Company>'s traction in 10 minutes
","Helping startups avoid bad cold emails, offering quick value
","Get a quick call scheduled to share a growth idea
","Confident, direct, results-driven
","B2B SaaS startups and companies looking to scale
","Schedule a 10-minute call
","Hello <FirstName>,

I have an idea that I can explain in 10 minutes that can get <Company> its next 100 best customers.

I recently used this idea to help our client <SaaSCompany/Competitor> almost triple their monthly run rate.

<FirstName>, let's schedule a quick 10 minute call so I can share the idea with you. When works best for you?
"
"Lena Shaw
","<First Name>
","15 minutes to get <Company> more customers
","A high-performing B2B cold email aimed at boosting conversion rates, inspired by Heather R. Morgan’s style
","Book a short discovery call to discuss a potential growth hack
","Conversational, optimistic, results-oriented
","B2B SaaS companies or startups focused on growth
","Schedule a 15-minute call
","Hello <First Name>,

Would you like to hear an idea for a 15 minute hack that could significantly increase <Company>'s conversion rate?

Recently, <SaaS Company>, one of our B2B clients saw a 47% increase in signups after working with us. <First Name>, let's schedule a 15 minute call this week to see if this would be a good fit for both of us.

When works best for you?
"
